Colonia,Lon,Lat,Id
"NUEVA CANDELARIA (37260)",-101.662504734006,21.1295969936064,281
"ORIENTE KILLIAN (37260)",-101.656522103812,21.1242460346268,282
"CONJUNTO HAB VALTIERRA (37260)",-101.6554066459,21.1289090446168,283
"EL COECILLO (37260)",-101.66773513257,21.1262433371603,284
"LOS GAVILANES (37266)",-101.660483058946,21.1188616793231,285
"CONJUNTO ESTRELLA (37266)",-101.664898986499,21.1200755464494,286
"ESPAÑITA (37266)",-101.659762158797,21.1206704308957,287
"LA MORA (CRUZ DE CANTERA) (37267)",-101.673145218377,21.1263349564931,288
"LAS FUENTES (37270)",-101.65762341359,21.119032302299,289
"RINCON DE BUGAMBILIAS (37270)",-101.649295716624,21.1176228200372,290
"BUGAMBILIAS (37270)",-101.65295493842,21.117378068643,291
"EL REFUGIO (37270)",-101.647801455273,21.1178153747798,292
"27 DE SEPTIEMBRE (37277)",-101.64489970096,21.1224065469247,293
"CONSTITUYENTES DE GUANAJUATO (37277)",-101.643812497948,21.1233304033755,294
"POPULAR LA LUZ (37278)",-101.644801527369,21.1211171610282,295
"PORTONES DE SAN PEDRITO (37278)",-101.644578054833,21.121453964329,296
"PUEBLO NUEVO (37278)",-101.642716236965,21.1227557608697,297
"SAN MIGUEL DE RENTERIA (37278)",-101.646035920621,21.1229463811706,298
"SAN PEDRO PLUS (37278)",-101.639058330877,21.1234371259227,299
"VILLA DE LAS FLORES (37278)",-101.65209329437,21.1222744760863,300
"BOSQUES DE LA RENTERIA (37278)",-101.64775158157,21.1230660179824,301
"INCA (37278)",-101.642284637926,21.1236382152315,302
"VILLAS DE LA LUZ (37279)",-101.65200245385,21.1219121518244,303
"LAS ROSAS (37279)",-101.651370282612,21.1244448297651,304
"MISION DE LA LUZ (37279)",-101.651748662471,21.1208013568972,305
"SAN PEDRO DE LOS HERNANDEZ (37280)",-101.638994670568,21.1208797687863,306
"SAN PEDRO DE LOS HERNANDEZ NORTE I (37280)",-101.63721030681,21.1262208388207,307
"ARBOLEDAS DE SAN PEDRO (37280)",-101.638358245537,21.1219523623117,308
