Calle,Lon,Lat,Id
"BOULEVARD PUNTA DEL ESTE",-101.612569823439,21.1260595966731,374
"BOULEVARD PURA SANGRE",-101.599205246725,21.1175389177869,375
"BOULEVARD REFUGIO DE ROSAS",-101.74703988848,21.1270297619141,376
"BOULEVARD RINCONADA DEL BOSQUE",-101.677087710429,21.1697638269391,377
"BOULEVARD RÍO MAYO",-101.646504324415,21.0862618379135,378
"BOULEVARD SAN CRISPÍN",-101.714406043704,21.0982824344868,379
"BOULEVARD SAN JUAN BOSCO",-101.715901767353,21.1335961780213,380
"BOULEVARD SAN NICOLÁS",-101.597501567443,21.100691231715,381
"BOULEVARD SAN PEDRO",-101.648923162574,21.0868332950206,382
"BOULEVARD SIGLO XXI",-101.578439404255,21.0950835972303,383
"BOULEVARD TEPEYAC",-101.672367397437,21.1051840441084,384
